@relation 2_gram

@attribute fileNames string
@attribute "ConfigMgr vx.yz" numeric
@attribute "Value 1.5" numeric
@attribute "1.5 for" numeric
@attribute "for option" numeric
@attribute "option abortProbability" numeric
@attribute "abortProbability must" numeric
@attribute "must be" numeric
@attribute "be at" numeric
@attribute "at most" numeric
@attribute "most 1.0." numeric
@attribute "Option -n-runs=2" numeric
@attribute "-n-runs=2 not" numeric
@attribute "not supported." numeric
@attribute "supported. Try" numeric
@attribute "Try ConfigMgr" numeric
@attribute "ConfigMgr --help." numeric
@attribute "Arguments are" numeric
@attribute "are not" numeric
@attribute "not allowed" numeric
@attribute "allowed for" numeric
@attribute "for setting" numeric
@attribute "setting boolean" numeric
@attribute "boolean option" numeric
@attribute "option redirectOut" numeric
@attribute "redirectOut to" numeric
@attribute "to false." numeric
@attribute "Option -g=x" numeric
@attribute "-g=x not" numeric
@attribute "Option Type" numeric
@attribute "Type Value" numeric
@attribute "Value Range" numeric
@attribute "redirectOut boolean" numeric
@attribute "boolean false" numeric
@attribute "classpath String" numeric
@attribute "String ." numeric
@attribute "randomSeed long" numeric
@attribute "long e9232493f22057d" numeric
@attribute "smallPrime int" numeric
@attribute "int two" numeric
@attribute "two {two," numeric
@attribute "{two, three," numeric
@attribute "three, five," numeric
@attribute "five, seven}" numeric
@attribute "abortProbability double" numeric
@attribute "double 0.0" numeric
@attribute "0.0 0.0..1.0" numeric
@attribute "nRuns int" numeric
@attribute "int 50" numeric
@attribute "50 1..inf" numeric
@attribute "mode String" numeric
@attribute "String exec" numeric
@attribute "exec {dot," numeric
@attribute "{dot, exec}" numeric
@attribute "someFlag boolean" numeric
@attribute "false [1]" numeric
@attribute "oddPrime boolean" numeric
@attribute "false [2]" numeric
@attribute "evenPrime boolean" numeric
@attribute "false [3]" numeric
@attribute "Option --baz-Quux" numeric
@attribute "--baz-Quux not" numeric
@attribute "boolean true" numeric
@attribute "a b" numeric
@attribute "b c" numeric
@attribute "Option --Quux" numeric
@attribute "--Quux not" numeric
@attribute "Option --modelClass" numeric
@attribute "--modelClass not" numeric
@attribute "Option -f" numeric
@attribute "-f not" numeric
@attribute "Illegal value" numeric
@attribute "value ffffffff" numeric
@attribute "ffffffff for" numeric
@attribute "for integer" numeric
@attribute "integer n." numeric
@attribute "Usage of" numeric
@attribute "of evenPrime" numeric
@attribute "evenPrime requires" numeric
@attribute "requires smallPrime" numeric
@attribute "smallPrime (currently" numeric
@attribute "(currently three)" numeric
@attribute "three) to" numeric
@attribute "to be" numeric
@attribute "be set" numeric
@attribute "set to" numeric
@attribute "to two." numeric
@attribute "--help a" numeric
@attribute "Option -x" numeric
@attribute "-x not" numeric
@attribute "value xx" numeric
@attribute "xx for" numeric
@attribute "for boolean" numeric
@attribute "option redirectOut." numeric
@attribute "Value 0" numeric
@attribute "0 for" numeric
@attribute "option nRuns" numeric
@attribute "nRuns must" numeric
@attribute "at least" numeric
@attribute "least 1." numeric
@attribute "String foo" numeric
@attribute "cp_1 " numeric
@attribute "value 10c1be9b302682f30" numeric
@attribute "10c1be9b302682f30 for" numeric
@attribute "for long" numeric
@attribute "long s." numeric
@attribute "of someFlag" numeric
@attribute "someFlag requires" numeric
@attribute "requires redirectOut" numeric
@attribute "redirectOut (currently" numeric
@attribute "(currently false)" numeric
@attribute "false) to" numeric
@attribute "to true." numeric
@attribute "value a" numeric
@attribute "a for" numeric
@attribute "integer nRuns." numeric
@attribute "Argument --no-mode" numeric
@attribute "--no-mode not" numeric
@attribute "for non-boolean" numeric
@attribute "non-boolean option." numeric
@attribute "int 2" numeric
@attribute "2 1..inf" numeric
@attribute "Option nRuns" numeric
@attribute "nRuns requires" numeric
@attribute "requires a" numeric
@attribute "a value." numeric
@attribute "int 999999" numeric
@attribute "999999 1..inf" numeric
@attribute "Option -classp=baz" numeric
@attribute "-classp=baz not" numeric
@attribute "long ffffffffffffffff" numeric
@attribute "Value -0.5" numeric
@attribute "-0.5 for" numeric
@attribute "least 0.0." numeric
@attribute "Option -f=x" numeric
@attribute "-f=x not" numeric
@attribute "value 999999999999" numeric
@attribute "999999999999 for" numeric
@attribute "long 10c1be9b302682f3" numeric
@attribute "double 0.5" numeric
@attribute "0.5 0.0..1.0" numeric
@attribute "Invalid option" numeric
@attribute "option for" numeric
@attribute "for small-prime:" numeric
@attribute "small-prime: Must" numeric
@attribute "Must be" numeric
@attribute "be one" numeric
@attribute "one of" numeric
@attribute "of {two," numeric
@attribute "five, seven}." numeric
@attribute "Usage: ConfigMgr" numeric
@attribute "ConfigMgr [--OPTION=value]" numeric
@attribute "[--OPTION=value] ..." numeric
@attribute "... [FILE]" numeric
@attribute "-h, --help" numeric
@attribute "--help show" numeric
@attribute "show this" numeric
@attribute "this help" numeric
@attribute "help and" numeric
@attribute "and exit" numeric
@attribute "-s, --show" numeric
@attribute "--show show" numeric
@attribute "show current" numeric
@attribute "current configuration" numeric
@attribute "-v, --version" numeric
@attribute "--version show" numeric
@attribute "show version" numeric
@attribute "version number" numeric
@attribute "number and" numeric
@attribute "--[no-]redirect-out redirect" numeric
@attribute "redirect output" numeric
@attribute "output to" numeric
@attribute "to log" numeric
@attribute "log file" numeric
@attribute "--classpath overrides" numeric
@attribute "overrides environment" numeric
@attribute "environment variable" numeric
@attribute "variable CLASSPATH" numeric
@attribute "CLASSPATH if" numeric
@attribute "if set" numeric
@attribute "-s, --random-seed" numeric
@attribute "--small-prime " numeric
@attribute "--abort-probability " numeric
@attribute "-n, --n-runs" numeric
@attribute "--mode " numeric
@attribute "--[no-]some-flag " numeric
@attribute "--[no-]odd-prime " numeric
@attribute "--[no-]even-prime " numeric
@attribute "Option string" numeric
@attribute "string for" numeric
@attribute "for environment" numeric
@attribute "CLASSPATH must" numeric
@attribute "be non-empty." numeric
@attribute "for mode:" numeric
@attribute "mode: Must" numeric
@attribute "of {dot," numeric
@attribute "{dot, exec}." numeric
@attribute "int 1" numeric
@attribute "1 1..inf" numeric
@attribute "int three" numeric
@attribute "three {two," numeric
@attribute "Option --x" numeric
@attribute "--x not" numeric
@attribute "Option -f=" numeric
@attribute "-f= not" numeric
@attribute "String bar" numeric
@attribute "of oddPrime" numeric
@attribute "oddPrime requires" numeric
@attribute "smallPrime to" numeric
@attribute "to value" numeric
@attribute "value other" numeric
@attribute "other than" numeric
@attribute "than two." numeric
@attribute "-h a" numeric

@data
'Files/config/_.--abortProbability=1.5-s.err.raw',1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.-n-runs=2.err.raw',1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.--no-redirectOut=xx-s.err.raw',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.-g=x-s.err.raw',1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.--no-redirectOut-s.log.raw',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.--baz-Quux.err.raw',1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.-s.log.raw',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.a_bc.log.raw',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.--Quux.err.raw',1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.-s--mode=exec-s.log.raw',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
