@relation 3_gram

@attribute fileNames string
@attribute "ConfigMgr vx.yz " numeric
@attribute "Value 1.5 for" numeric
@attribute "1.5 for option" numeric
@attribute "for option abortProbability" numeric
@attribute "option abortProbability must" numeric
@attribute "abortProbability must be" numeric
@attribute "must be at" numeric
@attribute "be at most" numeric
@attribute "at most 1.0." numeric
@attribute "Option -n-runs=2 not" numeric
@attribute "-n-runs=2 not supported." numeric
@attribute "not supported. Try" numeric
@attribute "supported. Try ConfigMgr" numeric
@attribute "Try ConfigMgr --help." numeric
@attribute "Arguments are not" numeric
@attribute "are not allowed" numeric
@attribute "not allowed for" numeric
@attribute "allowed for setting" numeric
@attribute "for setting boolean" numeric
@attribute "setting boolean option" numeric
@attribute "boolean option redirectOut" numeric
@attribute "option redirectOut to" numeric
@attribute "redirectOut to false." numeric
@attribute "Option -g=x not" numeric
@attribute "-g=x not supported." numeric
@attribute "Option Type Value" numeric
@attribute "Type Value Range" numeric
@attribute "redirectOut boolean false" numeric
@attribute "classpath String ." numeric
@attribute "randomSeed long e9232493f22057d" numeric
@attribute "smallPrime int two" numeric
@attribute "int two {two," numeric
@attribute "two {two, three," numeric
@attribute "{two, three, five," numeric
@attribute "three, five, seven}" numeric
@attribute "abortProbability double 0.0" numeric
@attribute "double 0.0 0.0..1.0" numeric
@attribute "nRuns int 50" numeric
@attribute "int 50 1..inf" numeric
@attribute "mode String exec" numeric
@attribute "String exec {dot," numeric
@attribute "exec {dot, exec}" numeric
@attribute "someFlag boolean false" numeric
@attribute "boolean false [1]" numeric
@attribute "oddPrime boolean false" numeric
@attribute "boolean false [2]" numeric
@attribute "evenPrime boolean false" numeric
@attribute "boolean false [3]" numeric
@attribute "Option --baz-Quux not" numeric
@attribute "--baz-Quux not supported." numeric
@attribute "redirectOut boolean true" numeric
@attribute "a b c" numeric
@attribute "Option --Quux not" numeric
@attribute "--Quux not supported." numeric
@attribute "Option --modelClass not" numeric
@attribute "--modelClass not supported." numeric
@attribute "Option -f not" numeric
@attribute "-f not supported." numeric
@attribute "Illegal value ffffffff" numeric
@attribute "value ffffffff for" numeric
@attribute "ffffffff for integer" numeric
@attribute "for integer n." numeric
@attribute "Usage of evenPrime" numeric
@attribute "of evenPrime requires" numeric
@attribute "evenPrime requires smallPrime" numeric
@attribute "requires smallPrime (currently" numeric
@attribute "smallPrime (currently three)" numeric
@attribute "(currently three) to" numeric
@attribute "three) to be" numeric
@attribute "to be set" numeric
@attribute "be set to" numeric
@attribute "set to two." numeric
@attribute "--help a b" numeric
@attribute "Option -x not" numeric
@attribute "-x not supported." numeric
@attribute "Illegal value xx" numeric
@attribute "value xx for" numeric
@attribute "xx for boolean" numeric
@attribute "for boolean option" numeric
@attribute "boolean option redirectOut." numeric
@attribute "Value 0 for" numeric
@attribute "0 for option" numeric
@attribute "for option nRuns" numeric
@attribute "option nRuns must" numeric
@attribute "nRuns must be" numeric
@attribute "be at least" numeric
@attribute "at least 1." numeric
@attribute "classpath String foo" numeric
@attribute "cp_1  " numeric
@attribute "Illegal value 10c1be9b302682f30" numeric
@attribute "value 10c1be9b302682f30 for" numeric
@attribute "10c1be9b302682f30 for long" numeric
@attribute "for long s." numeric
@attribute "Usage of someFlag" numeric
@attribute "of someFlag requires" numeric
@attribute "someFlag requires redirectOut" numeric
@attribute "requires redirectOut (currently" numeric
@attribute "redirectOut (currently false)" numeric
@attribute "(currently false) to" numeric
@attribute "false) to be" numeric
@attribute "set to true." numeric
@attribute "Illegal value a" numeric
@attribute "value a for" numeric
@attribute "a for integer" numeric
@attribute "for integer nRuns." numeric
@attribute "Argument --no-mode not" numeric
@attribute "--no-mode not allowed" numeric
@attribute "allowed for non-boolean" numeric
@attribute "for non-boolean option." numeric
@attribute "nRuns int 2" numeric
@attribute "int 2 1..inf" numeric
@attribute "Option nRuns requires" numeric
@attribute "nRuns requires a" numeric
@attribute "requires a value." numeric
@attribute "nRuns int 999999" numeric
@attribute "int 999999 1..inf" numeric
@attribute "Option -classp=baz not" numeric
@attribute "-classp=baz not supported." numeric
@attribute "randomSeed long ffffffffffffffff" numeric
@attribute "Value -0.5 for" numeric
@attribute "-0.5 for option" numeric
@attribute "at least 0.0." numeric
@attribute "Option -f=x not" numeric
@attribute "-f=x not supported." numeric
@attribute "Illegal value 999999999999" numeric
@attribute "value 999999999999 for" numeric
@attribute "999999999999 for integer" numeric
@attribute "randomSeed long 10c1be9b302682f3" numeric
@attribute "abortProbability double 0.5" numeric
@attribute "double 0.5 0.0..1.0" numeric
@attribute "Invalid option for" numeric
@attribute "option for small-prime:" numeric
@attribute "for small-prime: Must" numeric
@attribute "small-prime: Must be" numeric
@attribute "Must be one" numeric
@attribute "be one of" numeric
@attribute "one of {two," numeric
@attribute "of {two, three," numeric
@attribute "three, five, seven}." numeric
@attribute "Usage: ConfigMgr [--OPTION=value]" numeric
@attribute "ConfigMgr [--OPTION=value] ..." numeric
@attribute "[--OPTION=value] ... [FILE]" numeric
@attribute "-h, --help show" numeric
@attribute "--help show this" numeric
@attribute "show this help" numeric
@attribute "this help and" numeric
@attribute "help and exit" numeric
@attribute "-s, --show show" numeric
@attribute "--show show current" numeric
@attribute "show current configuration" numeric
@attribute "-v, --version show" numeric
@attribute "--version show version" numeric
@attribute "show version number" numeric
@attribute "version number and" numeric
@attribute "number and exit" numeric
@attribute "--[no-]redirect-out redirect output" numeric
@attribute "redirect output to" numeric
@attribute "output to log" numeric
@attribute "to log file" numeric
@attribute "--classpath overrides environment" numeric
@attribute "overrides environment variable" numeric
@attribute "environment variable CLASSPATH" numeric
@attribute "variable CLASSPATH if" numeric
@attribute "CLASSPATH if set" numeric
@attribute "-s, --random-seed " numeric
@attribute "--small-prime  " numeric
@attribute "--abort-probability  " numeric
@attribute "-n, --n-runs " numeric
@attribute "--mode  " numeric
@attribute "--[no-]some-flag  " numeric
@attribute "--[no-]odd-prime  " numeric
@attribute "--[no-]even-prime  " numeric
@attribute "Option string for" numeric
@attribute "string for environment" numeric
@attribute "for environment variable" numeric
@attribute "variable CLASSPATH must" numeric
@attribute "CLASSPATH must be" numeric
@attribute "must be non-empty." numeric
@attribute "option for mode:" numeric
@attribute "for mode: Must" numeric
@attribute "mode: Must be" numeric
@attribute "one of {dot," numeric
@attribute "of {dot, exec}." numeric
@attribute "nRuns int 1" numeric
@attribute "int 1 1..inf" numeric
@attribute "smallPrime int three" numeric
@attribute "int three {two," numeric
@attribute "three {two, three," numeric
@attribute "Option --x not" numeric
@attribute "--x not supported." numeric
@attribute "Option -f= not" numeric
@attribute "-f= not supported." numeric
@attribute "classpath String bar" numeric
@attribute "Usage of oddPrime" numeric
@attribute "of oddPrime requires" numeric
@attribute "oddPrime requires smallPrime" numeric
@attribute "requires smallPrime to" numeric
@attribute "smallPrime to be" numeric
@attribute "set to value" numeric
@attribute "to value other" numeric
@attribute "value other than" numeric
@attribute "other than two." numeric
@attribute "-h a b" numeric

@data
'Files/config/_.--abortProbability=1.5-s.err.raw',1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.-n-runs=2.err.raw',1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.--no-redirectOut=xx-s.err.raw',1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.-g=x-s.err.raw',1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.--no-redirectOut-s.log.raw',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.--baz-Quux.err.raw',1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.-s.log.raw',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.a_bc.log.raw',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.--Quux.err.raw',1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.-s--mode=exec-s.log.raw',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
