@relation 4_gram

@attribute fileNames string
@attribute "ConfigMgr vx.yz  " numeric
@attribute "Value 1.5 for option" numeric
@attribute "1.5 for option abortProbability" numeric
@attribute "for option abortProbability must" numeric
@attribute "option abortProbability must be" numeric
@attribute "abortProbability must be at" numeric
@attribute "must be at most" numeric
@attribute "be at most 1.0." numeric
@attribute "Option -n-runs=2 not supported." numeric
@attribute "-n-runs=2 not supported. Try" numeric
@attribute "not supported. Try ConfigMgr" numeric
@attribute "supported. Try ConfigMgr --help." numeric
@attribute "Arguments are not allowed" numeric
@attribute "are not allowed for" numeric
@attribute "not allowed for setting" numeric
@attribute "allowed for setting boolean" numeric
@attribute "for setting boolean option" numeric
@attribute "setting boolean option redirectOut" numeric
@attribute "boolean option redirectOut to" numeric
@attribute "option redirectOut to false." numeric
@attribute "Option -g=x not supported." numeric
@attribute "-g=x not supported. Try" numeric
@attribute "Option Type Value Range" numeric
@attribute "redirectOut boolean false " numeric
@attribute "classpath String . " numeric
@attribute "randomSeed long e9232493f22057d " numeric
@attribute "smallPrime int two {two," numeric
@attribute "int two {two, three," numeric
@attribute "two {two, three, five," numeric
@attribute "{two, three, five, seven}" numeric
@attribute "abortProbability double 0.0 0.0..1.0" numeric
@attribute "nRuns int 50 1..inf" numeric
@attribute "mode String exec {dot," numeric
@attribute "String exec {dot, exec}" numeric
@attribute "someFlag boolean false [1]" numeric
@attribute "oddPrime boolean false [2]" numeric
@attribute "evenPrime boolean false [3]" numeric
@attribute "Option --baz-Quux not supported." numeric
@attribute "--baz-Quux not supported. Try" numeric
@attribute "redirectOut boolean true " numeric
@attribute "a b c " numeric
@attribute "Option --Quux not supported." numeric
@attribute "--Quux not supported. Try" numeric
@attribute "Option --modelClass not supported." numeric
@attribute "--modelClass not supported. Try" numeric
@attribute "Option -f not supported." numeric
@attribute "-f not supported. Try" numeric
@attribute "Illegal value ffffffff for" numeric
@attribute "value ffffffff for integer" numeric
@attribute "ffffffff for integer n." numeric
@attribute "Usage of evenPrime requires" numeric
@attribute "of evenPrime requires smallPrime" numeric
@attribute "evenPrime requires smallPrime (currently" numeric
@attribute "requires smallPrime (currently three)" numeric
@attribute "smallPrime (currently three) to" numeric
@attribute "(currently three) to be" numeric
@attribute "three) to be set" numeric
@attribute "to be set to" numeric
@attribute "be set to two." numeric
@attribute "--help a b c" numeric
@attribute "Option -x not supported." numeric
@attribute "-x not supported. Try" numeric
@attribute "Illegal value xx for" numeric
@attribute "value xx for boolean" numeric
@attribute "xx for boolean option" numeric
@attribute "for boolean option redirectOut." numeric
@attribute "Value 0 for option" numeric
@attribute "0 for option nRuns" numeric
@attribute "for option nRuns must" numeric
@attribute "option nRuns must be" numeric
@attribute "nRuns must be at" numeric
@attribute "must be at least" numeric
@attribute "be at least 1." numeric
@attribute "classpath String foo " numeric
@attribute "cp_1   " numeric
@attribute "Illegal value 10c1be9b302682f30 for" numeric
@attribute "value 10c1be9b302682f30 for long" numeric
@attribute "10c1be9b302682f30 for long s." numeric
@attribute "Usage of someFlag requires" numeric
@attribute "of someFlag requires redirectOut" numeric
@attribute "someFlag requires redirectOut (currently" numeric
@attribute "requires redirectOut (currently false)" numeric
@attribute "redirectOut (currently false) to" numeric
@attribute "(currently false) to be" numeric
@attribute "false) to be set" numeric
@attribute "be set to true." numeric
@attribute "Illegal value a for" numeric
@attribute "value a for integer" numeric
@attribute "a for integer nRuns." numeric
@attribute "Argument --no-mode not allowed" numeric
@attribute "--no-mode not allowed for" numeric
@attribute "not allowed for non-boolean" numeric
@attribute "allowed for non-boolean option." numeric
@attribute "nRuns int 2 1..inf" numeric
@attribute "Option nRuns requires a" numeric
@attribute "nRuns requires a value." numeric
@attribute "nRuns int 999999 1..inf" numeric
@attribute "Option -classp=baz not supported." numeric
@attribute "-classp=baz not supported. Try" numeric
@attribute "randomSeed long ffffffffffffffff " numeric
@attribute "Value -0.5 for option" numeric
@attribute "-0.5 for option abortProbability" numeric
@attribute "be at least 0.0." numeric
@attribute "Option -f=x not supported." numeric
@attribute "-f=x not supported. Try" numeric
@attribute "Illegal value 999999999999 for" numeric
@attribute "value 999999999999 for integer" numeric
@attribute "999999999999 for integer nRuns." numeric
@attribute "randomSeed long 10c1be9b302682f3 " numeric
@attribute "abortProbability double 0.5 0.0..1.0" numeric
@attribute "Invalid option for small-prime:" numeric
@attribute "option for small-prime: Must" numeric
@attribute "for small-prime: Must be" numeric
@attribute "small-prime: Must be one" numeric
@attribute "Must be one of" numeric
@attribute "be one of {two," numeric
@attribute "one of {two, three," numeric
@attribute "of {two, three, five," numeric
@attribute "{two, three, five, seven}." numeric
@attribute "Usage: ConfigMgr [--OPTION=value] ..." numeric
@attribute "ConfigMgr [--OPTION=value] ... [FILE]" numeric
@attribute "-h, --help show this" numeric
@attribute "--help show this help" numeric
@attribute "show this help and" numeric
@attribute "this help and exit" numeric
@attribute "-s, --show show current" numeric
@attribute "--show show current configuration" numeric
@attribute "-v, --version show version" numeric
@attribute "--version show version number" numeric
@attribute "show version number and" numeric
@attribute "version number and exit" numeric
@attribute "--[no-]redirect-out redirect output to" numeric
@attribute "redirect output to log" numeric
@attribute "output to log file" numeric
@attribute "--classpath overrides environment variable" numeric
@attribute "overrides environment variable CLASSPATH" numeric
@attribute "environment variable CLASSPATH if" numeric
@attribute "variable CLASSPATH if set" numeric
@attribute "-s, --random-seed  " numeric
@attribute "--small-prime   " numeric
@attribute "--abort-probability   " numeric
@attribute "-n, --n-runs  " numeric
@attribute "--mode   " numeric
@attribute "--[no-]some-flag   " numeric
@attribute "--[no-]odd-prime   " numeric
@attribute "--[no-]even-prime   " numeric
@attribute "Option string for environment" numeric
@attribute "string for environment variable" numeric
@attribute "for environment variable CLASSPATH" numeric
@attribute "environment variable CLASSPATH must" numeric
@attribute "variable CLASSPATH must be" numeric
@attribute "CLASSPATH must be non-empty." numeric
@attribute "Invalid option for mode:" numeric
@attribute "option for mode: Must" numeric
@attribute "for mode: Must be" numeric
@attribute "mode: Must be one" numeric
@attribute "be one of {dot," numeric
@attribute "one of {dot, exec}." numeric
@attribute "nRuns int 1 1..inf" numeric
@attribute "smallPrime int three {two," numeric
@attribute "int three {two, three," numeric
@attribute "three {two, three, five," numeric
@attribute "Option --x not supported." numeric
@attribute "--x not supported. Try" numeric
@attribute "Option -f= not supported." numeric
@attribute "-f= not supported. Try" numeric
@attribute "classpath String bar " numeric
@attribute "Usage of oddPrime requires" numeric
@attribute "of oddPrime requires smallPrime" numeric
@attribute "oddPrime requires smallPrime to" numeric
@attribute "requires smallPrime to be" numeric
@attribute "smallPrime to be set" numeric
@attribute "be set to value" numeric
@attribute "set to value other" numeric
@attribute "to value other than" numeric
@attribute "value other than two." numeric
@attribute "-h a b c" numeric

@data
'Files/config/_.--abortProbability=1.5-s.err.raw',1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.-n-runs=2.err.raw',1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.--no-redirectOut=xx-s.err.raw',1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.-g=x-s.err.raw',1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.--no-redirectOut-s.log.raw',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.--baz-Quux.err.raw',1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.-s.log.raw',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.a_bc.log.raw',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.--Quux.err.raw',1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Files/config/_.-s--mode=exec-s.log.raw',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
